,单元号,租赁面积,本次装修期(天）,本次免租期（天）,本次租期（天）,本次起租日,本次到期日,最后搬离日,本次合同租金,本次实际租金,本次净租金,续约概率,佣金（月）,佣金,第二次空置期(天）,第二次装修期(天）,第二次免租期(天）,第二次租期(天）,第二次起租日,第二次到期日,第二次合同租金,第二次实际租金,第二次净租金,续约概率,佣金（月）,佣金,第三次空置期(天）,第三次装修期(天）,第三次免租期(天）,第三次租期(天）,第三次起租日,第三次到期日,第三次合同租金,第三次实际租金,第三次净租金,续约概率,佣金（月）,佣金,第四次空置期(天）,第四次装修期(天）,第四次免租期(天）,第四次租期(天）,第四次起租日,第四次到期日,第四次合同租金,第四次实际租金,第四次净租金,续约概率,佣金（月）,佣金,第五次空置期(天）,第五次装修期(天）,第五次免租期(天）,第五次租期(天）,第五次起租日,第五次到期日,第五次合同租金,第五次实际租金,第五次净租金,续约概率,佣金（月）,佣金,第六次空置期(天）,第六次装修期(天）,第六次免租期(天）,第六次租期(天）,第六次起租日,第六次到期日,第六次合同租金,第六次实际租金,第六次净租金,,实际租金,WALE,年
易护宝（上海）医疗产品有限公司,101B,768.35,81,0,1288,2017-10-01 00:00:00,2021-04-10 00:00:00,2021-05-31 00:00:00,3,3,2.82249817384953,0.75,2.5,123681.759724251,45,30,15,1095,2021-08-01 00:00:00,2024-07-31 00:00:00,3.71315,3.66228493150685,3.564624,0.8,2.5,166615.130066,45,30,15,1095,2024-10-01 00:00:00,2027-09-30 00:00:00,4.05745926005,4.00187762635069,3.895160889648,0.8,2.5,182064.85123163,45,30,15,1095,2027-12-01 00:00:00,2030-11-30 00:00:00,4.43369528485666,4.37295973300931,4.25634747346239,0.8,2.5,198947.178691785,45,30,15,1095,2031-02-01 00:00:00,2034-01-31 00:00:00,4.56670614340236,4.50414852499958,4.38403789766626,0.8,2.5,204915.594052539,45,30,15,1095,2034-05-01 00:00:00,2037-04-30 00:00:00,4.56670614340236,4.50414852499958,4.38403789766626,0,65963.6051862674,0.0926916208774297,1.27671232876712
上海仙知机器人科技有限公司,102,759.84,89,0,1096,2018-04-01 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,3,3,2.7746835443038,0.75,2.5,120239.870886076,45,30,15,1095,2021-07-01 00:00:00,2024-06-30 00:00:00,3.71315,3.66228493150685,3.564624,0.8,2.5,164769.7539264,45,30,15,1095,2024-09-01 00:00:00,2027-08-31 00:00:00,4.05745926005,4.00187762635069,3.895160889648,0.8,2.5,180048.358898733,45,30,15,1095,2027-11-01 00:00:00,2030-10-31 00:00:00,4.43369528485666,4.37295973300931,4.25634747346239,0.8,2.5,196743.703074336,45,30,15,1095,2031-01-01 00:00:00,2033-12-31 00:00:00,4.56670614340236,4.50414852499958,4.38403789766626,0.8,2.5,202646.014166566,45,30,15,1095,2034-04-01 00:00:00,2037-03-31 00:00:00,4.56670614340236,4.50414852499958,4.38403789766626,0,64127.9311392405,0.0881784068783217,1.24931506849315
纽昂司软件技术（北京）有限公司上海分公司,101A,280.0,0,31,1096,2019-08-01 00:00:00,2022-07-31 00:00:00,2022-07-31 00:00:00,3.9,3.7896897810219,3.7896897810219,0.75,2.5,60516.6086906935,45,30,15,1095,2022-10-01 00:00:00,2025-09-30 00:00:00,3.8245445,3.77215347945205,3.67156272,0.8,2.5,62538.951664,45,30,15,1095,2025-12-01 00:00:00,2028-11-30 00:00:00,4.1791830378515,4.12193395514121,4.01201571633744,0.8,2.5,68338.0010349477,45,30,15,1095,2029-02-01 00:00:00,2032-01-31 00:00:00,4.56670614340236,4.50414852499958,4.38403789766626,0.8,2.5,74674.7788569154,45,30,15,1095,2032-05-01 00:00:00,2035-04-30 00:00:00,4.56670614340236,4.50414852499958,4.38403789766626,0.8,2.5,74674.7788569154,45,30,15,1095,2035-07-01 00:00:00,2038-06-30 00:00:00,4.56670614340236,4.50414852499958,4.38403789766626,0,32275.5246350365,0.0917772793829231,2.58356164383562
上海润祥实业有限公司,201,358.76,59,0,1096,2017-04-10 00:00:00,2020-04-09 00:00:00,2020-04-09 00:00:00,2.9,2.9,2.75186147186147,1,2.5,75072.7301875901,0,0,0,1095,2020-04-01 00:00:00,2023-03-31 00:00:00,3.2,3.2,3.2,0.8,2.5,69838.6133333333,45,30,15,1095,2023-06-01 00:00:00,2026-05-31 00:00:00,3.714179073,3.66329990761644,3.56561191008,0.8,2.5,77817.9348390016,45,30,15,1095,2026-08-01 00:00:00,2029-07-31 00:00:00,4.05858375590207,4.00298671814999,3.89624040566599,0.8,2.5,85033.7584828178,45,30,15,1095,2029-10-01 00:00:00,2032-09-30 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,90212.3143744214,45,30,15,1095,2032-12-01 00:00:00,2035-11-30 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,30029.0920750361,0.00905508179953365,0.273972602739726
 珈蔻（上海）国际贸易有限公司,202A,242.91,0,0,731,2018-10-01 00:00:00,2020-09-30 00:00:00,2020-09-30 00:00:00,3.2,3.2,3.2,1,2.5,59108.1,0,30,45,1095,2020-11-01 00:00:00,2023-10-31 00:00:00,3.3,3.16438356164384,3.08,0.8,2.5,45513.237,45,30,15,1095,2024-01-01 00:00:00,2026-12-31 00:00:00,3.714179073,3.66329990761644,3.56561191008,0.8,2.5,52689.1363355499,45,30,15,1095,2027-04-01 00:00:00,2030-03-31 00:00:00,4.18034126857913,4.12307631969449,4.01312761783597,0.8,2.5,59302.0871369526,45,30,15,1095,2030-06-01 00:00:00,2033-05-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,61081.1497510611,45,30,15,1095,2033-08-01 00:00:00,2036-07-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,23643.24,0.0195347442532943,0.750684931506849
上海鲤庭实业有限公司,202B,283.26,61,31,1096,2017-12-10 00:00:00,2020-12-09 00:00:00,2020-12-09 00:00:00,3,2.91514598540146,2.76145203111495,0.75,2.5,44610.3514612143,45,30,15,1095,2021-03-01 00:00:00,2024-02-29 00:00:00,3.50097,3.45301150684932,3.3609312,0.8,2.5,57914.39011248,45,30,15,1095,2024-05-01 00:00:00,2027-04-30 00:00:00,3.82560444519,3.77319890484493,3.6725802673824,0.8,2.5,63284.61776444,45,30,15,1095,2027-07-01 00:00:00,2030-06-30 00:00:00,4.18034126857913,4.12307631969449,4.01312761783597,0.8,2.5,69152.8105158832,45,30,15,1095,2030-09-01 00:00:00,2033-08-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,71227.3948313597,45,30,15,1095,2033-11-01 00:00:00,2036-10-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,23792.187445981,0.0246798770416871,0.942465753424658
上海赫得环境科技股份有限公司,203B,346.22,0,0,1096,2019-05-01 00:00:00,2022-04-30 00:00:00,2022-04-30 00:00:00,3.3,3.3,3.3,0.75,2.5,65159.6859375,0,60,0,1095,2022-07-01 00:00:00,2025-06-30 00:00:00,3.6059991,3.6059991,3.41867447142857,0.8,2.5,72003.153092795,45,30,15,1095,2025-09-01 00:00:00,2028-08-31 00:00:00,3.9403725785457,3.88639487199028,3.78275767540387,0.8,2.5,79671.370378015,45,30,15,1095,2028-11-01 00:00:00,2031-10-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,87059.0575390572,45,30,15,1095,2032-01-01 00:00:00,2034-12-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,87059.0575390572,45,30,15,1095,2035-04-01 00:00:00,2038-03-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,34751.8325,0.0891779422076192,2.33150684931507
上海仙知机器人科技有限公司,203A,601.9,89,0,1096,2018-04-01 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,3,3,2.7746835443038,0.75,2.5,95246.8655063292,45,30,15,1095,2021-07-01 00:00:00,2024-06-30 00:00:00,3.50097,3.45301150684932,3.3609312,0.8,2.5,123062.4564312,45,30,15,1095,2024-09-01 00:00:00,2027-08-31 00:00:00,3.82560444519,3.77319890484493,3.6725802673824,0.8,2.5,134473.668828696,45,30,15,1095,2027-11-01 00:00:00,2030-10-31 00:00:00,4.18034126857913,4.12307631969449,4.01312761783597,0.8,2.5,146943.008718174,45,30,15,1095,2031-01-01 00:00:00,2033-12-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,151351.29897972,45,30,15,1095,2034-04-01 00:00:00,2037-03-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,50798.3282700422,0.0698496829596518,1.24931506849315
上海润索电子有限公司,204,381.26,90,0,1096,2018-03-01 00:00:00,2021-02-28 00:00:00,2021-04-15 00:00:00,3,3,2.77234401349073,0.75,2.5,60281.1118254639,45,30,15,1095,2021-07-01 00:00:00,2024-06-30 00:00:00,3.50097,3.45301150684932,3.3609312,0.8,2.5,77951.14161648,45,30,15,1095,2024-09-01 00:00:00,2027-08-31 00:00:00,3.82560444519,3.77319890484493,3.6725802673824,0.8,2.5,85179.3171251514,45,30,15,1095,2027-11-01 00:00:00,2030-10-31 00:00:00,4.18034126857913,4.12307631969449,4.01312761783597,0.8,2.5,93077.7396642153,45,30,15,1095,2031-01-01 00:00:00,2033-12-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,95870.0718541418,45,30,15,1095,2034-04-01 00:00:00,2037-03-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,32149.926306914,0.0412020749838263,1.16438356164384
诺可（上海）商贸有限公司,301,679.05,61,15,2192,2019-07-01 00:00:00,2025-06-30 00:00:00,2025-06-30 00:00:00,3.2,3.17810218978102,3.09205503772747,0.75,2.5,119746.232856192,45,30,15,1095,2025-09-01 00:00:00,2028-08-31 00:00:00,3.9403725785457,3.88639487199028,3.78275767540387,0.8,2.5,156261.463968549,45,30,15,1095,2028-11-01 00:00:00,2031-10-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,170751.120737961,45,30,15,1095,2032-01-01 00:00:00,2034-12-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,170751.120737961,45,30,15,1095,2035-04-01 00:00:00,2038-03-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,170751.120737961,45,30,15,1095,2038-06-01 00:00:00,2041-05-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,63864.6575233023,0.386700267403204,5.5013698630137
上海境业环保能源科技有限公司,302,382.08,0,0,1096,2019-10-16 00:00:00,2022-10-15 00:00:00,2022-10-15 00:00:00,3.2,3.2,3.2,0.75,2.5,69729.6,45,30,15,1095,2023-01-01 00:00:00,2025-12-31 00:00:00,3.6059991,3.5566018520548,3.461759136,0.8,2.5,80462.3599498752,45,30,15,1095,2026-04-01 00:00:00,2029-03-31 00:00:00,4.05858375590207,4.00298671814999,3.89624040566599,0.8,2.5,90561.0949969757,45,30,15,1095,2029-06-01 00:00:00,2032-05-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,96076.2656822915,45,30,15,1095,2032-08-01 00:00:00,2035-07-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,96076.2656822915,45,30,15,1095,2035-10-01 00:00:00,2038-09-30 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,37189.12,0.114272114103424,2.79178082191781
赛默飞世尔科技（中国）有限公司,303,769.9,31,31,1096,2017-09-01 00:00:00,2020-08-31 00:00:00,2020-08-31 00:00:00,2.9,2.81797445255474,2.74046140195209,0.75,2.5,120329.164090229,45,30,15,1095,2020-11-01 00:00:00,2023-10-31 00:00:00,3.399,3.35243835616438,3.26304,0.8,2.5,152826.38184,45,30,15,1095,2024-01-01 00:00:00,2026-12-31 00:00:00,3.714179073,3.66329990761644,3.56561191008,0.8,2.5,166997.513748878,45,30,15,1095,2027-04-01 00:00:00,2030-03-31 00:00:00,4.18034126857913,4.12307631969449,4.01312761783597,0.8,2.5,187957.172972458,45,30,15,1095,2030-06-01 00:00:00,2033-05-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,193595.888161632,45,30,15,1095,2033-08-01 00:00:00,2036-07-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,64175.5541814552,0.0472182220663556,0.668493150684932
上海源力生物技术有限公司,304,519.55,59,0,1096,2018-04-01 00:00:00,2021-03-31 00:00:00,2021-03-31 00:00:00,3,3,2.84675324675325,0.75,2.5,84350.9667207793,45,30,15,1095,2021-06-01 00:00:00,2024-05-31 00:00:00,3.50097,3.45301150684932,3.3609312,0.8,2.5,106225.4514684,45,30,15,1095,2024-08-01 00:00:00,2027-07-31 00:00:00,3.82560444519,3.77319890484493,3.6725802673824,0.8,2.5,116075.41890671,45,30,15,1095,2027-10-01 00:00:00,2030-09-30 00:00:00,4.18034126857913,4.12307631969449,4.01312761783597,0.8,2.5,126838.744275673,45,30,15,1095,2030-12-01 00:00:00,2033-11-30 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,130643.906603943,45,30,15,1095,2034-02-01 00:00:00,2037-01-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,44987.1822510823,0.0618591304970037,1.24931506849315
易护宝扩租,401A,300.0,0,90,1460,2020-02-01 00:00:00,2024-01-31 00:00:00,2024-01-31 00:00:00,3.4,3.19041095890411,3.19041095890411,0.75,0,0.0,45,30,15,1095,2024-05-01 00:00:00,2027-04-30 00:00:00,3.82560444519,3.77319890484493,3.6725802673824,0.8,0,0,45,30,15,1095,2027-07-01 00:00:00,2030-06-30 00:00:00,4.18034126857913,4.12307631969449,4.01312761783597,0.8,0,0.0,45,30,15,1095,2030-09-01 00:00:00,2033-08-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,0,0.0,45,30,15,1095,2033-11-01 00:00:00,2036-10-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,0,0.0,45,30,15,1095,2037-01-01 00:00:00,2039-12-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,29112.5,0.130978044157801,4.08767123287671
易护宝扩租,401A,299.92,0,90,1460,2020-02-01 00:00:00,2024-01-31 00:00:00,2024-01-31 00:00:00,3.4,3.19041095890411,3.19041095890411,0.75,0,0.0,45,30,15,1095,2024-05-01 00:00:00,2027-04-30 00:00:00,3.82560444519,3.77319890484493,3.6725802673824,0.8,0,0,45,30,15,1095,2027-07-01 00:00:00,2030-06-30 00:00:00,4.18034126857913,4.12307631969449,4.01312761783597,0.8,0,0.0,45,30,15,1095,2030-09-01 00:00:00,2033-08-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,0,0.0,45,30,15,1095,2033-11-01 00:00:00,2036-10-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,0,0.0,45,30,15,1095,2037-01-01 00:00:00,2039-12-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,29104.7366666667,0.130943116679359,4.08767123287671
空置,401B,541.17,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
上海府上汽车维修服务有限公司,402,381.96,31,31,730,2018-01-01 00:00:00,2019-12-31 00:00:00,2019-12-31 00:00:00,3,2.87260273972603,2.75558475689882,0.75,2.5,60026.7111120237,0,0,0,365,2020-01-01 00:00:00,2020-12-31 00:00:00,3,3,3,0.8,2.5,69707.7,45,30,15,365,2021-04-01 00:00:00,2022-03-31 00:00:00,3.50097,3.35709452054795,3.1021253164557,0.8,2.5,72080.6736406329,45,30,15,365,2022-06-01 00:00:00,2023-05-31 00:00:00,3.6059991,3.45780735616438,3.19518907594937,0.8,2.5,74243.0938498519,45,30,15,365,2023-08-01 00:00:00,2024-07-31 00:00:00,3.714179073,3.56154157684932,3.29104474822785,0.8,2.5,76470.3866653475,45,30,15,365,2024-10-01 00:00:00,2025-09-30 00:00:00,3.82560444519,3.6683878241548,3.38977609067468,0,32014.2459264126,0.0,0
上海旗霄水务有限公司,403,260.0,59,0,1096,2018-02-01 00:00:00,2021-01-31 00:00:00,2021-02-28 00:00:00,3.2,3.2,3.0365367965368,0.75,2.5,45026.1471861472,45,30,15,1095,2021-05-01 00:00:00,2024-04-30 00:00:00,0,0,0,0.8,2.5,0,45,30,15,1095,2024-07-01 00:00:00,2027-06-30 00:00:00,3.82560444519,3.77319890484493,3.6725802673824,0.8,2.5,58087.977895765,45,30,15,1095,2027-09-01 00:00:00,2030-08-31 00:00:00,4.18034126857913,4.12307631969449,4.01312761783597,0.8,2.5,63474.3018221056,45,30,15,1095,2030-11-01 00:00:00,2033-10-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,65378.5308767688,45,30,15,1095,2034-01-01 00:00:00,2036-12-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,24013.9451659452,0.0287477723914283,1.08767123287671
上海豹驰新材料科技有限公司 ,405,281.48,61,31,730,2017-10-16 00:00:00,2019-10-15 00:00:00,2019-12-15 00:00:00,3,2.87260273972603,2.65107458912769,0.75,2,34046.4916877371,45,30,15,1095,2020-05-01 00:00:00,2023-04-30 00:00:00,3.2,3.15616438356164,3.072,0.8,2,42082.38592,45,30,15,1095,2023-07-01 00:00:00,2026-06-30 00:00:00,3.714179073,3.66329990761644,3.56561191008,0.8,2,48844.2241018668,45,30,15,1095,2026-09-01 00:00:00,2029-08-31 00:00:00,4.05858375590207,4.00298671814999,3.89624040566599,0.8,2,53373.4024701607,45,30,15,1095,2029-11-01 00:00:00,2032-10-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2,56623.8426805934,45,30,15,1095,2033-01-01 00:00:00,2035-12-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,22697.661125158,-0.00527013826383023,-0.210958904109589
空置,406,237.97,60,30,1095,2020-06-01 00:00:00,2023-05-31 00:00:00,2023-05-31 00:00:00,3.3,3.20958904109589,3.04285714285714,0.75,2,33037.4600892857,45,30,15,1095,2023-08-01 00:00:00,2026-07-31 00:00:00,0,0,0,0.8,2,0,45,30,15,1095,2026-10-01 00:00:00,2029-09-30 00:00:00,4.05858375590207,4.00298671814999,3.89624040566599,0.8,2,45123.165361035,45,30,15,1095,2029-12-01 00:00:00,2032-11-30 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2,47871.166131522,45,30,15,1095,2033-02-01 00:00:00,2036-01-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2,47871.166131522,45,30,15,1095,2036-05-01 00:00:00,2039-04-30 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,0.0,0.0,3.41643835616438
上海源力生物技术有限公司,501,418.51,59,0,1096,2018-04-01 00:00:00,2021-03-31 00:00:00,2021-03-31 00:00:00,3,3,2.84675324675325,0.75,2.5,67946.7290584416,45,30,15,1095,2021-06-01 00:00:00,2024-05-31 00:00:00,0,0,0,0.8,2.5,0,45,30,15,1095,2024-08-01 00:00:00,2027-07-31 00:00:00,3.82560444519,3.77319890484493,3.6725802673824,0.8,2.5,93501.5370352177,45,30,15,1095,2027-10-01 00:00:00,2030-09-30 00:00:00,4.18034126857913,4.12307631969449,4.01312761783597,0.8,2.5,102171.654059882,45,30,15,1095,2030-12-01 00:00:00,2033-11-30 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,105236.803681679,45,30,15,1095,2034-02-01 00:00:00,2037-01-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,36238.2554978355,0.0498290149250332,1.24931506849315
上海海高咨询有限公司,502A,236.38,61,0,1096,2017-05-16 00:00:00,2020-05-15 00:00:00,2020-06-15 00:00:00,3.2,3.2,3.03128781331029,0.75,2.5,40864.9331028523,45,30,15,1095,2020-09-01 00:00:00,2023-08-31 00:00:00,3.399,3.35243835616438,3.26304,0.8,2.5,46921.808208,45,30,15,1095,2023-11-01 00:00:00,2026-10-31 00:00:00,3.714179073,3.66329990761644,3.56561191008,0.8,2.5,51272.7267177032,45,30,15,1095,2027-01-01 00:00:00,2029-12-31 00:00:00,4.05858375590207,4.00298671814999,3.89624040566599,0.8,2.5,56027.0928480557,45,30,15,1095,2030-04-01 00:00:00,2033-03-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,59439.1428025023,45,30,15,1095,2033-06-01 00:00:00,2036-05-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,21794.6309881878,0.00893796407889892,0.372602739726027
上海力群建设有限公司,502B,275.46,31,31,1096,2017-09-01 00:00:00,2020-08-31 00:00:00,2020-08-31 00:00:00,3,2.91514598540146,2.83496007098492,1,2.5,59382.3139418812,0,30,45,1095,2020-10-01 00:00:00,2023-09-30 00:00:00,3.3,3.16438356164384,3.08,0.8,2.5,51612.022,45,30,15,1095,2023-12-01 00:00:00,2026-11-30 00:00:00,3.714179073,3.66329990761644,3.56561191008,0.8,2.5,59749.4936189971,45,30,15,1095,2027-02-01 00:00:00,2030-01-31 00:00:00,4.18034126857913,4.12307631969449,4.01312761783597,0.8,2.5,67248.58146122,45,30,15,1095,2030-05-01 00:00:00,2033-04-30 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,69266.0389050566,45,30,15,1095,2033-07-01 00:00:00,2036-06-30 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,23752.9255767524,0.0174766066131271,0.668493150684932
上海荧辉医疗器械有限公司,503,472.29,0,0,1096,2019-02-01 00:00:00,2022-01-31 00:00:00,2022-01-31 00:00:00,3.3,3.3,3.3,0.75,2.5,88886.45390625,45,30,15,1095,2022-05-01 00:00:00,2025-04-30 00:00:00,0,0,0,0.8,2.5,0,45,30,15,1095,2025-07-01 00:00:00,2028-06-30 00:00:00,3.9403725785457,3.88639487199028,3.78275767540387,0.8,2.5,108682.316203087,45,30,15,1095,2028-09-01 00:00:00,2031-08-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,118760.10133765,45,30,15,1095,2031-11-01 00:00:00,2034-10-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,118760.10133765,45,30,15,1095,2035-01-01 00:00:00,2037-12-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,47406.10875,0.108927981535246,2.08767123287671
上海京格电子有限公司,504,370.85,0,0,1096,2019-06-01 00:00:00,2022-05-31 00:00:00,2022-05-31 00:00:00,3.03,3.03,3.03,0.75,2.5,64084.618359375,45,30,15,1095,2022-08-01 00:00:00,2025-07-31 00:00:00,0,0,0,0.8,2.5,0,45,30,15,1095,2025-10-01 00:00:00,2028-09-30 00:00:00,3.9403725785457,3.88639487199028,3.78275767540387,0.8,2.5,85339.1707720145,45,30,15,1095,2028-12-01 00:00:00,2031-11-30 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,93252.4160601911,45,30,15,1095,2032-02-01 00:00:00,2035-01-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,93252.4160601911,45,30,15,1095,2035-05-01 00:00:00,2038-04-30 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,34178.463125,0.0909015506464138,2.41643835616438
上海荧辉医疗器械有限公司,505,426.0,61,0,1096,2019-08-01 00:00:00,2022-07-31 00:00:00,2022-07-31 00:00:00,3.3,3.3,3.12601555747623,0.75,2.5,75947.5248487467,45,30,15,1095,2022-10-01 00:00:00,2025-09-30 00:00:00,0,0,0,0.8,2.5,0,45,30,15,1095,2025-12-01 00:00:00,2028-11-30 00:00:00,3.9403725785457,3.88639487199028,3.78275767540387,0.8,2.5,98030.1651580914,45,30,15,1095,2029-02-01 00:00:00,2032-01-31 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,107120.208282706,45,30,15,1095,2032-05-01 00:00:00,2035-04-30 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0.8,2.5,107120.208282706,45,30,15,1095,2035-07-01 00:00:00,2038-06-30 00:00:00,4.30575150663651,4.24676860928532,4.13352144637105,0,40505.3465859983,0.115179243471997,2.58356164383562
